2025-07-31 15:33:31,815,dht1_T, dht2_T, dht3_T, dht1_H, dht2_H, dht3_H, hm, tm, CO2, eCO2, TVOC, t_min, t_max, h_min, h_max, heat_rele, hum_rele, fan_rele
2025-07-31 15:33:44,980,25,26,25,47,48,64,47,25,1792,0,0,42,50,76,87,0,1,0
2025-07-31 15:33:50,996,25,26,25,47,48,64,47,25,1792,448,7,42,50,76,87,1,1,0
2025-07-31 15:33:57,082,25,26,25,47,48,64,47,25,1792,1372,148,42,49,76,87,0,1,0
2025-07-31 15:34:03,188,25,26,25,47,48,64,47,25,1792,1086,104,42,49,76,87,0,1,0
2025-07-31 15:34:09,313,25,26,25,47,48,64,47,25,1792,1242,128,42,50,76,87,0,1,0
2025-07-31 15:34:15,442,25,26,25,47,48,65,47,25,1792,1056,99,42,49,76,87,0,1,0
2025-07-31 15:34:21,603,25,26,25,47,48,65,47,26,1792,1153,114,42,49,76,87,1,1,0
2025-07-31 15:34:27,793,25,26,25,48,49,66,48,26,1792,923,79,42,50,76,87,0,1,0
2025-07-31 15:34:33,922,25,26,25,47,49,65,48,26,1792,1495,166,42,50,76,87,0,1,0
2025-07-31 15:34:39,973,25,26,25,47,48,65,47,26,1792,2050,825,42,50,76,87,1,1,0
2025-07-31 15:34:46,113,25,27,25,47,48,64,47,26,1792,1972,698,42,50,76,87,0,1,0
2025-07-31 15:34:52,179,25,27,25,46,48,64,47,26,1794,1521,186,42,50,76,87,0,1,0
2025-07-31 15:34:58,326,25,27,25,46,48,63,47,26,1792,2212,1170,42,50,76,87,0,1,0
2025-07-31 15:35:04,382,26,-26,25,46,-46,63,23,13,1792,2122,969,42,50,76,87,0,1,0
2025-07-31 15:35:10,426,26,28,26,46,46,63,46,27,1794,2440,1648,42,50,76,87,1,1,0
2025-07-31 15:35:16,509,26,28,26,45,46,62,45,27,1792,2633,2067,42,50,76,87,0,1,0
2025-07-31 15:35:22,605,26,-26,26,45,-45,62,22,13,1792,2488,1758,42,50,76,87,0,1,0
2025-07-31 15:35:28,705,26,28,26,45,46,62,45,27,1792,2404,1573,42,49,76,87,0,1,0
2025-07-31 15:35:34,818,26,28,26,44,46,61,45,27,1620,2292,1343,42,49,76,87,0,1,0
2025-07-31 15:35:40,928,26,-26,26,44,-44,61,22,13,1620,2302,1358,42,50,76,87,0,1,0
2025-07-31 15:35:47,091,26,29,27,44,45,60,44,28,1618,2430,1628,42,49,76,87,0,1,0
2025-07-31 15:35:53,169,27,29,27,43,45,60,44,28,1620,1866,538,42,49,76,87,0,1,0
2025-07-31 15:35:59,278,27,30,27,43,43,59,43,28,1622,2506,1794,42,50,76,87,0,1,0
2025-07-31 15:36:05,346,27,30,27,43,43,59,43,29,1626,2807,2450,42,50,76,87,0,1,0
2025-07-31 15:36:11,394,27,31,28,42,43,58,42,29,-854,2669,2143,42,49,76,87,0,1,0
2025-07-31 15:36:17,434,27,31,28,42,42,58,42,29,-853,2025,794,42,49,76,87,0,1,0
2025-07-31 15:36:23,550,27,32,28,41,42,57,41,30,-853,2680,2165,42,49,76,87,1,1,0
2025-07-31 15:36:29,683,28,32,28,41,42,57,41,30,-854,2853,2552,42,50,76,87,0,1,0
2025-07-31 15:36:35,734,28,33,29,40,41,56,40,30,-854,2076,872,42,50,76,87,0,1,0
2025-07-31 15:36:42,033,28,33,29,40,40,56,40,31,-854,2763,2359,42,49,76,87,1,1,0
2025-07-31 15:36:48,203,28,34,29,40,40,55,40,31,-855,3008,2872,42,50,76,87,0,1,0
2025-07-31 15:36:54,236,29,35,30,39,38,54,38,32,1682,2094,906,42,50,76,87,0,1,0
2025-07-31 15:37:00,291,29,-29,30,39,-39,54,19,14,1690,2853,2552,42,50,76,87,0,1,0
2025-07-31 15:37:06,331,29,36,31,39,37,53,38,33,1696,2807,2450,42,49,76,87,0,1,0
2025-07-31 15:37:12,371,29,37,31,38,37,52,37,33,1702,1572,224,42,49,76,87,0,1,0
2025-07-31 15:37:18,415,30,38,31,38,35,52,36,34,1708,2035,810,42,50,76,87,0,1,0
2025-07-31 15:37:24,525,30,38,31,37,35,51,36,34,-858,2084,890,42,50,76,87,0,1,0
2025-07-31 15:37:30,647,30,-30,32,37,-37,51,18,15,1706,2110,940,42,50,76,87,0,1,0
2025-07-31 15:37:36,686,30,39,32,36,34,50,35,35,1712,2156,1040,42,50,76,87,0,1,0
2025-07-31 15:37:42,818,31,-31,32,36,-36,50,18,15,1718,1553,209,42,50,76,87,0,1,0
2025-07-31 15:37:48,848,31,40,33,35,32,49,33,35,1722,2807,2450,42,49,76,87,1,1,0
2025-07-31 15:37:54,929,31,40,33,35,31,48,33,36,1730,2778,2387,42,50,76,87,0,1,0
2025-07-31 15:38:00,960,32,-32,34,34,-34,48,17,16,1734,2270,1290,42,50,76,87,0,1,0
2025-07-31 15:38:07,931,32,42,34,33,29,46,31,37,1744,1989,727,42,50,76,87,0,1,0
