2025-08-07 17:59:00,885,dht1_T, dht2_T, dht3_T, dht1_H, dht2_H, dht3_H, hm, tm, CO2, eCO2, TVOC, t_min, t_max, h_min, h_max, heat_rele, hum_rele, fan_rele
2025-08-07 17:59:14,038,20,21,21,60,50,61,55,21,-963,0,0,15,15,10,10,0,0,1
2025-08-07 17:59:20,121,21,22,21,61,50,60,55,21,1792,770,56,15,15,10,10,0,0,1
2025-08-07 17:59:26,609,21,22,21,60,51,59,55,22,1792,1252,129,15,15,10,10,0,0,1
2025-08-07 17:59:32,680,22,23,22,57,51,56,54,23,1794,1756,399,15,15,10,10,0,0,1
2025-08-07 17:59:38,848,23,25,23,53,51,53,52,24,1794,1515,181,15,15,10,10,0,0,1
2025-08-07 17:59:44,928,24,26,23,51,51,51,51,25,1792,1949,661,15,15,10,10,0,0,1
2025-08-07 17:59:50,952,25,28,25,46,50,48,48,27,1794,1823,479,15,15,10,10,0,0,1
2025-08-07 17:59:57,115,26,-26,25,44,-44,47,22,13,1794,1569,221,15,15,10,10,0,0,1
2025-08-07 18:00:03,159,28,-28,27,41,-41,44,20,14,1794,408,1,15,15,10,10,0,0,1
2025-08-07 18:00:09,195,30,-30,28,38,-38,43,19,15,1796,1882,556,15,15,10,10,0,0,1
2025-08-07 18:00:15,274,32,-32,30,35,-35,40,17,16,1796,2023,789,15,15,10,10,0,0,1
2025-08-07 18:00:21,315,33,-33,31,33,-33,38,16,16,1796,1949,661,15,15,10,10,0,0,1
2025-08-07 18:00:27,444,35,-35,33,30,-30,35,15,17,1796,1572,223,15,15,10,10,0,0,1
2025-08-07 18:00:33,627,35,-35,34,29,-29,33,14,17,1798,1695,333,15,15,10,10,0,0,1
2025-08-07 18:00:39,711,37,-37,35,27,-27,30,13,18,1798,1764,407,15,15,10,10,0,0,1
2025-08-07 18:00:45,817,37,-37,36,26,-26,30,13,18,1798,2084,890,15,15,10,10,0,0,1
2026-01-15 12:17:20,363,38,-38,37,25,-25,28,12,19,1798,1983,718,15,15,10,10,0,0,1
2026-01-15 12:17:26,366,38,-38,38,24,-24,27,12,19,1798,1882,556,15,15,10,10,0,0,1
2026-01-15 12:17:32,980,39,-39,39,23,-23,25,11,19,1656,1518,184,15,15,10,10,0,0,1
2026-01-15 12:17:39,123,39,-39,40,22,-22,24,11,19,1664,1728,365,15,15,10,10,0,0,1
2026-01-15 12:17:45,354,39,-39,40,22,-22,19,11,19,1672,1625,268,15,15,10,10,0,0,1
2026-01-15 12:17:52,284,39,-39,41,21,-21,18,10,19,1678,1882,556,15,15,10,10,0,0,1
2026-01-15 12:18:00,381,39,-39,41,21,-21,17,10,19,-863,529,19,15,15,10,10,0,0,1
2026-01-15 12:18:06,879,39,-39,42,21,-21,17,10,19,1690,1270,132,15,15,10,10,0,0,1
2026-01-15 12:18:13,100,38,-38,42,21,-21,17,10,19,1700,895,75,15,15,10,10,0,0,1
2026-01-15 12:18:20,012,38,-38,42,22,-22,16,11,19,-862,951,83,15,15,10,10,0,0,1
2026-01-15 12:18:26,040,38,-38,43,22,-22,16,11,19,1712,733,50,15,15,10,10,0,0,1
2026-01-15 12:18:32,308,37,-37,43,22,-22,15,11,18,1718,813,62,30,37,14,14,0,1,0
2026-01-15 12:18:38,352,37,-37,43,22,-22,15,11,18,1720,495,14,29,35,31,31,0,1,0
2026-01-15 12:18:44,508,36,-36,43,22,-22,15,11,18,1726,1899,584,29,35,34,34,0,1,0
2026-01-15 12:18:50,675,36,-36,43,23,-23,15,11,18,1730,483,12,29,35,34,34,1,1,0
2026-01-15 12:18:56,762,36,-36,43,23,-23,16,11,18,1734,1808,458,22,30,34,34,0,1,0
2026-01-15 12:19:02,903,36,-36,43,23,-23,26,11,18,1736,1918,612,22,30,34,34,0,1,0
2026-01-15 12:19:08,923,36,-36,43,24,-24,16,12,18,1740,1994,736,22,30,34,34,0,1,0
2026-01-15 12:19:15,390,36,-36,43,24,-24,16,12,18,1740,1808,458,22,30,34,34,0,1,0
2026-01-15 12:19:21,744,36,-36,43,24,-24,15,12,18,1742,2411,1593,22,30,34,34,1,1,0
2026-01-15 12:19:28,117,36,-36,43,24,-24,15,12,18,1742,1849,514,22,30,34,34,0,1,0
2026-01-15 12:19:34,164,35,-35,43,23,-23,14,11,17,1740,927,80,22,30,34,34,0,1,0
2026-01-15 12:19:40,537,36,-36,43,23,-23,14,11,18,1738,1828,485,22,30,34,34,1,1,0
2026-01-15 12:19:46,640,36,-36,43,23,-23,14,11,18,1732,2274,1295,22,30,34,34,0,1,0
2026-01-15 12:19:53,144,36,-36,43,23,-23,14,11,18,1730,2164,1058,22,30,34,34,0,1,0
2026-01-15 12:19:59,423,36,-36,43,23,-23,14,11,18,1730,1808,458,22,30,34,34,0,1,0
