2026-01-15 14:35:03,841,dht1_T, dht2_T, dht3_T, dht1_H, dht2_H, dht3_H, hm, tm, CO2, eCO2, TVOC, t_min, t_max, h_min, h_max, heat_rele, hum_rele, fan_rele
2026-01-15 14:35:16,887,33,40,35,72,40,57,56,36,1704,0,0,28,39,37,58,0,0,0
2026-01-15 14:35:22,946,33,40,35,72,40,58,56,36,-864,1150,114,28,39,37,58,0,0,0
2026-01-15 14:35:29,052,33,40,35,73,40,58,56,36,-863,954,84,28,39,37,58,0,0,0
2026-01-15 14:35:35,134,33,39,35,73,41,58,57,36,-863,885,73,28,39,37,58,0,0,0
2026-01-15 14:35:41,183,33,39,35,73,41,58,57,36,-863,865,70,28,39,37,58,0,0,0
2026-01-15 14:35:47,356,33,39,35,73,41,58,57,36,-862,770,56,28,39,37,58,0,0,0
2026-01-15 14:35:53,596,33,39,35,73,41,58,57,36,-864,629,34,28,39,37,58,0,0,0
2026-01-15 14:35:59,703,33,39,35,74,41,58,57,36,-861,1041,97,28,39,37,58,0,0,0
2026-01-15 14:36:05,770,33,39,35,74,42,58,58,36,1706,1601,246,28,39,37,58,0,0,1
2026-01-15 14:36:11,820,32,39,35,73,42,57,57,36,1706,1408,153,28,39,37,58,0,0,0
2026-01-15 14:36:17,898,32,39,35,69,41,54,55,36,1706,825,64,28,39,37,58,0,0,0
2026-01-15 14:36:24,079,32,39,35,65,40,51,52,36,-864,575,26,28,39,37,58,0,0,0
2026-01-15 14:36:30,201,32,39,35,62,39,49,50,35,-863,441,6,28,39,37,58,0,0,0
2026-01-15 14:36:36,221,32,39,35,61,39,48,50,35,-864,1140,112,28,39,37,58,0,0,0
2026-01-15 14:36:42,871,32,39,35,60,38,48,49,35,-860,1491,166,28,39,37,58,0,0,0
2026-01-15 14:36:49,685,32,39,34,60,38,49,49,35,-859,1512,179,28,39,37,58,0,0,0
2026-01-15 14:36:55,718,32,39,34,60,38,49,49,35,1710,1496,169,28,39,37,58,0,0,0
2026-01-15 14:37:01,903,32,39,34,60,38,50,49,35,1710,1474,163,28,39,37,58,0,0,0
2026-01-15 14:37:08,058,32,39,34,60,38,50,49,35,-863,438,5,28,39,37,58,0,0,0
2026-01-15 14:37:14,785,32,38,34,61,38,50,49,35,-861,572,26,28,39,37,58,0,0,0
2026-01-15 14:37:20,941,32,38,34,62,38,51,50,35,-859,1512,179,28,39,37,58,0,0,0
2026-01-15 14:37:27,134,32,38,34,63,38,52,50,35,1712,1512,179,28,39,37,58,0,0,0
2026-01-15 14:37:33,193,32,38,34,63,38,52,50,35,1710,1512,179,28,39,37,58,0,0,0
2026-01-15 14:37:39,650,32,38,34,63,38,52,50,35,1710,1436,157,28,39,37,58,0,0,0
2026-01-15 14:37:45,768,32,38,34,64,39,53,51,35,1712,1539,198,28,39,37,58,0,0,0
2026-01-15 14:37:51,972,32,38,34,64,39,53,51,35,-859,1520,185,28,39,37,58,0,0,0
2026-01-15 14:37:58,143,32,38,34,64,39,53,51,35,-858,1516,182,28,39,37,58,0,0,0
2026-01-15 14:38:04,223,32,38,34,65,39,54,52,35,-858,1516,182,28,39,37,58,0,0,0
2026-01-15 14:38:10,572,32,38,34,65,39,54,52,35,-859,1516,182,28,39,37,58,0,0,0
2026-01-15 14:38:16,766,32,38,34,65,39,54,52,35,-858,1516,182,28,39,37,58,0,0,0
2026-01-15 14:38:22,812,32,38,34,66,39,55,52,35,1712,1524,187,28,39,37,58,0,0,0
2026-01-15 14:38:28,936,32,38,34,67,39,55,53,35,1712,1520,185,28,39,37,58,0,0,0
2026-01-15 14:38:35,103,32,38,34,67,39,55,53,35,1712,1495,168,28,39,37,58,0,0,0
2026-01-15 14:38:41,317,32,38,34,67,39,56,53,35,1712,1516,182,28,39,37,58,0,0,0
2026-01-15 14:38:47,338,32,38,34,68,40,56,54,35,1712,1516,182,28,39,37,58,0,0,0
2026-01-15 14:38:53,357,32,37,34,68,41,56,54,34,1714,1516,182,28,39,37,58,0,0,0
2026-01-15 14:38:59,578,32,37,34,69,41,56,55,34,1738,1524,187,28,39,37,58,0,0,0
2026-01-15 14:39:05,656,32,37,33,69,41,57,55,34,1738,1520,185,28,39,37,58,0,0,0
2026-01-15 14:39:11,768,31,37,33,69,41,57,55,34,1738,1425,156,28,39,37,58,0,0,0
2026-01-15 14:39:17,834,31,37,33,69,41,57,55,34,1740,1524,187,28,39,37,58,0,0,0
2026-01-15 14:39:24,144,31,37,33,70,41,57,55,34,1738,1516,182,28,39,37,58,0,0,0
2026-01-15 14:39:30,195,31,37,33,70,42,58,56,34,1740,1516,182,28,39,37,58,0,0,0
2026-01-15 14:39:36,494,31,37,33,70,42,58,56,34,1740,1516,182,28,39,37,58,0,0,0
